9799,7003,0,HAZARD,incidentsubtype,null,40.787013,-74.198549,Friday,12/4/2015,11:00:00
9801,7960,0,ACCIDENT,incidentsubtype,null,40.797714,-74.469515,Friday,12/4/2015,11:00:00
9803,7920,0,HAZARD,incidentsubtype,null,40.720497,-74.539878,Friday,12/4/2015,11:00:00
9804,7747,0,HAZARD,incidentsubtype,null,40.425765,-74.260271,Friday,12/4/2015,11:00:00
9805,8878,0,HAZARD,incidentsubtype,null,40.429334,-74.24994,Friday,12/4/2015,11:00:00
9806,7080,1,ACCIDENT,incidentsubtype,null,40.55429,-74.414268,Friday,12/4/2015,11:00:00
9808,8863,0,HAZARD,incidentsubtype,null,40.513423,-74.329604,Friday,12/4/2015,11:00:00
9810,7052,1,HAZARD,incidentsubtype,null,40.762387,-74.303074,Friday,12/4/2015,11:00:00
9811,7107,0,HAZARD,incidentsubtype,null,40.7513373,-74.18579982,Friday,12/4/2015,11:00:00
9814,7216,0,JAM,incidentsubtype,null,40.665147,-74.21712,Friday,12/4/2015,11:00:00
9816,7066,0,JAM,incidentsubtype,null,40.61835,-74.322819,Friday,12/4/2015,11:00:00
9818,8902,0,HAZARD,incidentsubtype,null,40.42772491,-74.49403001,Friday,12/4/2015,11:00:00
9819,8902,0,HAZARD,incidentsubtype,null,40.42767489,-74.49391183,Friday,12/4/2015,11:00:00
9820,8817,1,HAZARD,incidentsubtype,null,40.507885,-74.372182,Friday,12/4/2015,11:00:00
9823,8879,0,JAM,incidentsubtype,null,40.48973,-74.298163,Friday,12/4/2015,11:00:00
9824,8879,0,JAM,incidentsubtype,null,40.488329,-74.297981,Friday,12/4/2015,11:00:00
9825,8837,0,JAM,incidentsubtype,null,40.521257,-74.363835,Friday,12/4/2015,11:00:00
9828,8902,0,ACCIDENT,incidentsubtype,Deans,40.43172,-74.515856,Friday,12/4/2015,11:00:00
9829,8863,3,HAZARD,incidentsubtype,null,40.550446,-74.321052,Friday,12/4/2015,11:00:00
9831,7078,0,HAZARD,incidentsubtype,null,40.741721,-74.364827,Friday,12/4/2015,11:00:00
9833,7081,0,HAZARD,incidentsubtype,null,40.709667,-74.306193,Friday,12/4/2015,11:00:00
9834,7114,0,ACCIDENT,incidentsubtype,Elizabeth,40.687341,-74.192891,Friday,12/4/2015,11:00:00
9835,7960,13,HAZARD,incidentsubtype,null,40.79321789,-74.48514973,Friday,12/4/2015,11:00:00
9837,7960,0,ACCIDENT,incidentsubtype,null,40.798099,-74.468754,Friday,12/4/2015,11:00:00
9838,7052,0,JAM,incidentsubtype,null,40.791311,-74.272863,Friday,12/4/2015,11:00:00
9841,8873,5,HAZARD,incidentsubtype,null,40.552188,-74.542973,Friday,12/4/2015,11:00:00
9842,7920,5,HAZARD,incidentsubtype,null,40.725743,-74.542379,Friday,12/4/2015,11:00:00
9843,7960,0,HAZARD,incidentsubtype,null,40.732732,-74.537019,Friday,12/4/2015,11:00:00
9844,7733,1,HAZARD,incidentsubtype,null,40.400244,-74.187544,Friday,12/4/2015,11:00:00
9846,7747,1,HAZARD,incidentsubtype,null,40.425165,-74.221497,Friday,12/4/2015,11:00:00
9847,7747,0,HAZARD,incidentsubtype,null,40.423024,-74.217463,Friday,12/4/2015,11:00:00
9848,8817,0,HAZARD,incidentsubtype,null,40.496363,-74.387395,Friday,12/4/2015,11:00:00
9850,8840,7,HAZARD,incidentsubtype,null,40.527812,-74.360412,Friday,12/4/2015,11:00:00
9851,8854,1,HAZARD,incidentsubtype,null,40.540269,-74.509428,Friday,12/4/2015,11:00:00
9852,8854,1,HAZARD,incidentsubtype,null,40.555705,-74.451236,Friday,12/4/2015,11:00:00
9854,8840,0,HAZARD,incidentsubtype,null,40.529686,-74.369576,Friday,12/4/2015,11:00:00
9855,7080,9,HAZARD,incidentsubtype,null,40.553001,-74.413621,Friday,12/4/2015,11:00:00
9856,8832,0,HAZARD,incidentsubtype,null,40.516144,-74.300054,Friday,12/4/2015,11:00:00
9857,8878,1,HAZARD,incidentsubtype,null,40.432108,-74.248361,Friday,12/4/2015,11:00:00
9858,8837,0,HAZARD,incidentsubtype,null,40.52832954,-74.33690332,Friday,12/4/2015,11:00:00
9859,8837,0,HAZARD,incidentsubtype,null,40.52955,-74.342547,Friday,12/4/2015,11:00:00
9860,8837,0,HAZARD,incidentsubtype,null,40.529224,-74.350154,Friday,12/4/2015,11:00:00
9861,7064,14,HAZARD,incidentsubtype,null,40.567914,-74.255099,Friday,12/4/2015,11:00:00
9862,8832,7,HAZARD,incidentsubtype,null,40.52217093,-74.29997981,Friday,12/4/2015,11:00:00
9863,10314,3,HAZARD,incidentsubtype,null,40.593187,-74.192709,Friday,12/4/2015,11:00:00
9864,8830,1,HAZARD,incidentsubtype,null,40.584092,-74.329583,Friday,12/4/2015,11:00:00
9866,8863,0,HAZARD,incidentsubtype,null,40.541366,-74.303525,Friday,12/4/2015,11:00:00
9867,8837,6,HAZARD,incidentsubtype,null,40.521445,-74.352641,Friday,12/4/2015,11:00:00
