"337";"11222";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"Exit 34: Meeker Ave - Morgan Avenue";"null";"Apollo St";"40.723875";"-73.937665";"40.724274";"-73.937665";"-1"
"338";"11222";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"Meeker Ave S";"null";"Cherry St";"40.723875";"-73.937665";"40.724185";"-73.937665";"-1"
"339";"11222";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"Porter Ave";"null";"Anthony St";"40.723276";"-73.937409";"40.723668";"-73.937409";"-1"
"340";"11222";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"Cherry St";"null";"Meeker Ave S";"40.724185";"-73.936867";"40.724345";"-73.936867";"-1"
"341";"10199";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"7th Ave";"null";"W 18th St";"40.743448";"-74.003542";"40.741033";"-74.003542";"77"
"342";"11222";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"Anthony St";"null";"Porter Ave";"40.724345";"-73.936188";"40.723669";"-73.936188";"-1"
"343";"11222";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"Anthony St";"null";"Varick Ave";"40.72475";"-73.934619";"40.724058";"-73.934619";"-1"
"344";"10002";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Lafayette St";"null";"Kenmare St";"40.720321";"-73.994049";"40.721576";"-73.994049";"75"
"345";"10009";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"E Houston St";"null";"Clinton St";"40.719059";"-73.985082";"40.721407";"-73.985082";"74"
"346";"10095";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"E 23rd St";"null";"W 23rd St";"40.7429";"-73.992804";"40.741546";"-73.992804";"91"
"347";"10020";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"11th Ave";"null";"W 15th St";"40.741675";"-74.004939";"40.743155";"-74.004939";"77"
"348";"11378";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"43rd St";"null";"54th Ave";"40.732607";"-73.925523";"40.732251";"-73.925523";"-1"
"349";"10002";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Chatham Sq";"null";"Mott St";"40.719048";"-73.996478";"40.713477";"-73.996478";"121"
"350";"10120";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"E 35th St";"null";"Madison Ave";"40.745244";"-73.984794";"40.748432";"-73.984794";"82"
"351";"10120";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Broadway";"null";"W 30th St";"40.748469";"-73.992463";"40.746789";"-73.992463";"98"
"352";"10013";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"W Broadway";"null";"Chambers St";"40.713474";"-74.004819";"40.71552";"-74.004819";"64"
"353";"10120";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"8th Ave";"null";"W 31st St";"40.747535";"-73.988305";"40.750293";"-73.988305";"407"
"354";"10013";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"null";"null";"Division St";"40.714389";"-73.992143";"40.714215";"-73.992143";"84"
"355";"10178";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"E 34th St";"null";"5th Ave";"40.752196";"-73.981822";"40.748439";"-73.981822";"84"
"356";"10123";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"W 34th St";"null";"8th Ave";"40.749052";"-73.995749";"40.75219";"-73.995749";"144"
"357";"10120";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"7th Ave";"null";"W 35th St";"40.749101";"-73.984076";"40.751659";"-73.984076";"243"
"358";"10121";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"W 34th St";"null";"7th Ave";"40.753517";"-73.988787";"40.750992";"-73.988787";"107"
"359";"10168";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"W 42nd St";"null";"E 42nd St";"40.750364";"-73.973492";"40.752801";"-73.973492";"135"
"360";"10098";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"7th Ave";"null";"W 37th St";"40.751699";"-73.986398";"40.752895";"-73.986398";"105"
"361";"10110";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Lexington Ave";"null";"E 42nd St";"40.752801";"-73.979287";"40.751441";"-73.979287";"60"
"362";"10036";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"7th Ave";"null";"W 36th St";"40.754687";"-73.995354";"40.75228";"-73.995354";"165"
"363";"10120";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"6th Ave";"null";"W 40th St";"40.757532";"-73.994509";"40.753533";"-73.994509";"171"
"364";"10005";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"South St";"null";"John St";"40.708698";"-74.007286";"40.705799";"-74.007286";"76"
"365";"10177";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"5th Ave";"null";"E 47th St";"40.754618";"-73.973735";"40.756654";"-73.973735";"115"
"366";"10123";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"6th Ave";"null";"W 44th St";"40.758533";"-73.988841";"40.756139";"-73.988841";"84"
"367";"10105";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"W 42nd St";"null";"5th Ave";"40.767393";"-73.970728";"40.756032";"-73.970728";"147"
"368";"10019";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"8th Ave";"null";"W 42nd St";"40.758979";"-73.993935";"40.757234";"-73.993935";"67"
"369";"10176";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"7th Ave";"null";"W 47th St";"40.75802";"-73.981794";"40.759207";"-73.981794";"69"
"370";"10152";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"1st Ave";"null";"E 50th St";"40.755825";"-73.97076";"40.753874";"-73.97076";"65"
"371";"10104";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"W 42nd St";"null";"9th Ave";"40.762859";"-73.989401";"40.75843";"-73.989401";"96"
"372";"10019";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"W 46th St";"null";"7th Ave";"40.759841";"-73.984174";"40.758589";"-73.984174";"120"
"373";"10154";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"3rd Ave";"null";"E 53rd St";"40.754911";"-73.962771";"40.757703";"-73.962771";"65"
"374";"10172";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"5th Ave";"null";"E 53rd St";"40.758373";"-73.970993";"40.760418";"-73.970993";"80"
"375";"7302";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Town Square Place";"null";"Washington Blvd";"40.721813";"-74.036209";"40.725547";"-74.036209";"263"
"376";"10105";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Central Park South";"null";"6th Ave";"40.759899";"-73.980426";"40.765675";"-73.980426";"84"
"377";"10111";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"5th Ave";"null";"W 52nd St";"40.761147";"-73.979513";"40.759786";"-73.979513";"113"
"378";"10103";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"9th Ave";"null";"W 51st St";"40.760525";"-73.979972";"40.76411";"-73.979972";"365"
"379";"11201";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"null";"null";"Adams St";"40.696241";"-73.988554";"40.699973";"-73.988554";"85"
"380";"10107";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"9th Ave";"null";"W 53rd St";"40.762967";"-73.981895";"40.765364";"-73.981895";"272"
"381";"10103";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"8th Ave";"null";"W 55th St";"40.763024";"-73.978139";"40.765426";"-73.978139";"156"
"382";"10151";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"2nd Ave";"null";"E 57th St";"40.760929";"-73.969132";"40.759308";"-73.969132";"166"
"383";"10104";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"6th Ave";"null";"W 56th St";"40.76546";"-73.981988";"40.763645";"-73.981988";"73"
"384";"10151";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"5th Ave";"null";"W 58th St";"40.766197";"-73.979543";"40.763658";"-73.979543";"66"
"385";"11211";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Clymer St";"null";"Bedford Ave";"40.701398";"-73.95807";"40.706479";"-73.95807";"62"
"386";"10105";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"E 59th St";"null";"Central Park South";"40.765675";"-73.976234";"40.764278";"-73.976234";"100"
"387";"10155";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Madison Ave";"null";"E 59th St";"40.764279";"-73.973015";"40.763588";"-73.973015";"172"
"388";"10104";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"12th Ave";"null";"W 55th St";"40.766615";"-73.986659";"40.769004";"-73.986659";"60"
"389";"11201";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Jay St";"null";"Tillary St";"40.696148";"-73.990046";"40.696076";"-73.990046";"67"
"390";"11211";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Rutledge St";"null";"Lee Ave";"40.706464";"-73.960767";"40.70251";"-73.960767";"104"
"391";"11211";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Marcy Ave";"null";"Keap St";"40.704768";"-73.958884";"40.706002";"-73.958884";"103"
"392";"10105";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Lexington Ave";"null";"E 65th St";"40.768025";"-73.970281";"40.765983";"-73.970281";"136"
"393";"10069";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Henry Hudson Pkwy N";"null";"W 57th St";"40.769115";"-73.988559";"40.771532";"-73.988559";"64"
"394";"10151";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"York Ave";"null";"E 65th St";"40.765308";"-73.963843";"40.762417";"-73.963843";"97"
"395";"11211";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Franklin Ave";"null";"Wythe Ave";"40.701129";"-73.960862";"40.699413";"-73.960862";"138"
"396";"11205";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Classon Ave";"null";"Exit 30: Flushing Ave";"40.695733";"-73.964892";"40.698011";"-73.964892";"193"
"397";"11205";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Myrtle Ave";"null";"Washington Ave";"40.695668";"-73.96734";"40.693341";"-73.96734";"380"
"398";"11205";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Classon Ave";"null";"Flushing Ave";"40.698973";"-73.95702";"40.698326";"-73.95702";"92"
"399";"10096";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Broadway";"null";"W 66th St";"40.772417";"-73.978728";"40.773873";"-73.978728";"99"
"400";"11211";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Park Ave";"null";"Franklin Ave";"40.699413";"-73.959009";"40.69657";"-73.959009";"66"
"401";"10044";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Lexington Ave";"null";"E 72nd St";"40.767804";"-73.955999";"40.770424";"-73.955999";"118"
"402";"10028";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"York Ave";"null";"E 72nd St";"40.769749";"-73.960602";"40.766852";"-73.960602";"62"
"403";"11217";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Greene Ave";"null";"Fulton St";"40.688254";"-73.979286";"40.686309";"-73.979286";"74"
"404";"10009";"0000-00-00";"00:00:00";"Weekend";"3";"Jams";"E 13th St";"null";"Ave D";"40.726238";"-73.974138";"40.726735";"-73.974138";"-1"
"405";"10009";"0000-00-00";"00:00:00";"Weekend";"3";"Jams";"null";"null";"Ave D";"40.726074";"-73.974252";"40.726238";"-73.974252";"-1"
"406";"10020";"0000-00-00";"00:00:00";"Weekend";"1";"Jams";"Grand St";"null";"Broadway";"40.727804";"-73.994764";"40.720835";"-73.994764";"344"
"407";"10003";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"W Houston St";"null";"Thompson St";"40.729685";"-73.998604";"40.727201";"-73.998604";"77"
"408";"10020";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"5th Ave";"null";"E 14th St";"40.733287";"-73.987187";"40.736005";"-73.987187";"45"
"409";"10010";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"5th Ave";"null";"E 13th St";"40.733528";"-73.989868";"40.735313";"-73.989868";"156"
"410";"10003";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"W 14th St";"null";"6th Ave";"40.732929";"-74.000065";"40.737361";"-74.000065";"65"
"411";"10045";"0000-00-00";"00:00:00";"Weekend";"3";"Jams";"Stone St";"null";"Mill Ln";"40.704763";"-74.010327";"40.704546";"-74.010327";"-1"
"412";"10009";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"E 12th St";"null";"Ave D";"40.724836";"-73.97516";"40.726074";"-73.97516";"-1"
"413";"10045";"0000-00-00";"00:00:00";"Weekend";"3";"Jams";"Mill Ln";"null";"Stone St";"40.704139";"-74.010706";"40.704545";"-74.010706";"-1"
"414";"10003";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Lafayette St";"null";"Bleecker St";"40.728068";"-73.998955";"40.726137";"-73.998955";"76"
"415";"10011";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"4th Ave";"null";"E 14th St";"40.736005";"-73.993617";"40.734802";"-73.993617";"138"
"416";"7310";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"Holland Tunnel Inbound (east)";"null";"Holland Tunnel Inbound (east)";"40.729922";"-74.039693";"40.729007211093055";"-74.039693";"410"
"417";"10007";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"Manhattan Bridge Lower Roadway";"null";"null";"40.716174";"-73.996111";"40.715637";"-73.996111";"-1"
"418";"10278";"0000-00-00";"00:00:00";"Weekend";"1";"Jams";"Varick St";"null";"Watts St";"40.723294";"-74.003003";"40.723745";"-74.003003";"352"
"419";"10038";"0000-00-00";"00:00:00";"Weekend";"2";"Jams";"null";"null";"Canal St";"40.715801";"-73.994919";"40.715989";"-73.994919";"-1"
"420";"10003";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Bowery";"null";"Bond St";"40.72664";"-73.994129";"40.725615";"-73.994129";"100"
"421";"11222";"0000-00-00";"00:00:00";"Weekend";"3";"Jams";"Vandervoort Ave";"null";"Anthony St";"40.723668";"-73.935885";"40.723276";"-73.935885";"-1"
"422";"11222";"0000-00-00";"00:00:00";"Weekend";"3";"Jams";"Varick Ave";"null";"Cherry St";"40.724345";"-73.936188";"40.72475";"-73.936188";"-1"
"423";"10003";"0000-00-00";"00:00:00";"Weekend";"0";"Jams";"Broome St";"null";"Wooster St";"40.72646";"-73.999188";"40.722911";"-73.999188";"256"
